时间段,电价_元每kWh,负载_kWh,光伏_kWh,购电_kWh,充电_kWh,放电_kWh,弃光_kWh,段初储电_kWh,段末储电_kWh,费用_元,充放电开关_u
00:00-00:10,0.4262,573.714375,0.0,1407.0477083333333,833.3333333333333,0.0,0.0,6000.0,6750.0,599.6837332916667,1.0
00:10-00:20,0.42464999999999997,573.15215,0.0,1406.4854833333334,833.3333333333333,0.0,0.0,6750.0,7500.0,597.2640604974999,1.0
00:20-00:30,0.42569999999999997,573.5235250000001,0.0,1406.8568583333333,833.3333333333333,0.0,0.0,7500.0,8250.0,598.8989645925,1.0
00:30-00:40,0.42705000000000004,574.8955666666666,0.0,1408.2288999999998,833.3333333333333,0.0,0.0,8250.0,9000.0,601.3841517449999,1.0
00:40-00:50,0.42715000000000003,576.1059166666666,0.0,1409.43925,833.3333333333333,0.0,0.0,9000.0,9750.0,602.0419756375,1.0
00:50-01:00,0.42779999999999996,576.5556166666667,0.0,909.88895,333.3333333333333,0.0,0.0,9750.0,10050.0,389.25049280999997,1.0000000000000009
01:00-01:10,0.42979999999999996,577.2498583333332,0.0,577.2498583333332,0.0,0.0,0.0,10050.0,10050.0,248.1019891116666,0.0
01:10-01:20,0.43065,577.9267833333333,0.0,577.9267833333333,0.0,0.0,0.0,10050.0,10050.0,248.88416924249998,0.0
01:20-01:30,0.42905000000000004,577.9109583333334,0.0,577.9109583333334,0.0,0.0,0.0,10050.0,10050.0,247.95269667291672,0.0
01:30-01:40,0.42955,579.1217499999999,0.0,579.1217499999999,0.0,0.0,0.0,10050.0,10050.0,248.76174771249995,0.0
01:40-01:50,0.43225,581.4647333333332,0.0,581.4647333333332,0.0,0.0,0.0,10050.0,10050.0,251.33813098333331,-8.326672684688704e-16
01:50-02:00,0.43220000000000003,582.7940333333333,0.0,582.7940333333333,0.0,0.0,0.0,10050.0,10050.0,251.8835812066667,0.0
02:00-02:10,0.4302,583.6394833333334,0.0,583.6394833333334,0.0,0.0,0.0,10050.0,10050.0,251.08170573000004,0.0
02:10-02:20,0.43085,584.8223499999999,0.0,584.8223499999999,0.0,0.0,0.0,10050.0,10050.0,251.97070949749997,0.0
02:20-02:30,0.43455,585.7922666666666,0.0,585.7922666666666,0.0,0.0,0.0,10050.0,10050.0,254.55602947999995,0.0
02:30-02:40,0.43574999999999997,586.2327583333333,0.0,586.2327583333333,0.0,0.0,0.0,10050.0,10050.0,255.45092444374998,0.0
02:40-02:50,0.43415000000000004,586.3730333333333,0.0,586.3730333333333,0.0,0.0,0.0,10050.0,10050.0,254.57385242166666,0.0
02:50-03:00,0.4346,586.63745,0.0,586.63745,0.0,0.0,0.0,10050.0,10050.0,254.95263576999997,0.0
03:00-03:10,0.43655,587.3353083333333,0.0,587.3353083333333,0.0,0.0,0.0,10050.0,10050.0,256.40122885291663,0.0
03:10-03:20,0.43725,588.6842916666667,0.0,588.6842916666667,0.0,0.0,0.0,10050.0,10050.0,257.40220653125004,0.0
03:20-03:30,0.43635,590.1805166666666,0.0,590.1805166666666,0.0,0.0,0.0,10050.0,10050.0,257.52526844749997,0.0
03:30-03:40,0.43545,590.5132916666666,0.0,590.5132916666666,0.0,0.0,0.0,10050.0,10050.0,257.13901285625,0.0
03:40-03:50,0.43565,590.6396916666665,0.0,590.6396916666665,0.0,0.0,0.0,10050.0,10050.0,257.31218167458326,0.0
03:50-04:00,0.4369,592.21705,0.0,592.21705,0.0,0.0,0.0,10050.0,10050.0,258.739629145,0.0
04:00-04:10,0.43895,593.5137583333333,0.0,593.5137583333333,0.0,0.0,0.0,10050.0,10050.0,260.52286422041664,0.0
04:10-04:20,0.4395,593.2230333333333,0.0,593.2230333333333,0.0,0.0,0.0,10050.0,10050.0,260.72152315,0.0
04:20-04:30,0.43765,593.0621249999999,0.0,593.0621249999999,0.0,0.0,0.0,10050.0,10050.0,259.55363900624997,0.0
04:30-04:40,0.43785,595.0567666666666,0.04995,595.0068166666666,0.0,0.0,0.0,10050.0,10050.0,260.5237346775,0.0
04:40-04:50,0.44075,597.2974999999999,0.06949166666666667,597.2280083333333,0.0,0.0,0.0,10050.0,10050.0,263.2282446729166,0.0
04:50-05:00,0.44084999999999996,596.5149583333333,0.04358333333333332,596.471375,0.0,0.0,0.0,10050.0,10050.0,262.95440566875,0.0
05:00-05:10,0.4364,594.46505,1.58055,592.8845,0.0,0.0,0.0,10050.0,10050.0,258.73479580000003,0.0
05:10-05:20,0.4386,596.1415,6.095658333333333,590.0458416666667,0.0,0.0,0.0,10050.0,10050.0,258.794106155,0.0
05:20-05:30,0.437,597.5904499999999,13.620133333333332,583.9703166666666,0.0,0.0,0.0,10050.0,10050.0,255.1950283833333,0.0
05:30-05:40,0.4007,588.818625,24.427675,1397.7242833333332,833.3333333333333,0.0,0.0,10050.0,10800.0,560.0681203316666,1.0
