规划日期,比例窗口,有效历史比例数,跨日比例中位数
2025-02-01,28,28,0.9982787775022595
2025-02-02,28,28,0.9982787775022595
2025-02-03,28,28,0.9982787775022595
2025-02-04,28,28,0.9967076943459201
2025-02-05,28,28,0.9953485324476208
2025-02-06,28,28,0.9953485324476208
2025-02-07,28,28,0.9967076943459201
2025-02-08,28,28,0.9967076943459201
2025-02-09,28,28,0.9953485324476208
2025-02-10,28,28,0.9953485324476208
2025-02-11,28,28,0.9905111401371234
2025-02-12,28,28,0.9839045202443879
2025-02-13,28,28,0.9886418963972918
2025-02-14,28,28,0.9886418963972918
2025-02-15,28,28,0.9953485324476208
2025-02-16,28,28,0.9898673605215258
2025-02-17,28,28,0.9898673605215258
2025-02-18,28,28,0.9899673766791194
2025-02-19,28,28,0.9967076943459201
2025-02-20,28,28,1.000719575124078
2025-02-21,28,28,1.002484112376968
2025-02-22,28,28,1.002484112376968
2025-02-23,28,28,0.9984722315988102
2025-02-24,28,28,0.9984722315988102
2025-02-25,28,28,0.9984722315988102
2025-02-26,28,28,0.9984722315988102
2025-02-27,28,28,1.0064141127717638
2025-02-28,28,28,1.0064141127717638
2025-03-01,28,28,1.0064141127717638
2025-03-02,28,28,1.0130820358492165
2025-03-03,28,28,1.0130820358492165
2025-03-04,28,28,1.0130820358492165
2025-03-05,28,28,1.0130820358492165
2025-03-06,28,28,1.0084952861822891
2025-03-07,28,28,1.004039673107302
2025-03-08,28,28,1.004039673107302
2025-03-09,28,28,1.0084952861822891
2025-03-10,28,28,1.0084952861822891
2025-03-11,28,28,1.0129844111493382
2025-03-12,28,28,1.0147341360474333
2025-03-13,28,28,1.0147341360474333
2025-03-14,28,28,1.0147341360474333
2025-03-15,28,28,1.0129844111493382
2025-03-16,28,28,1.0147341360474333
2025-03-17,28,28,1.0129844111493382
2025-03-18,28,28,1.0084952861822891
2025-03-19,28,28,1.004830746439748
2025-03-20,28,28,1.0046881962356464
2025-03-21,28,28,1.0046881962356464
2025-03-22,28,28,1.0046881962356464
2025-03-23,28,28,1.0046881962356464
2025-03-24,28,28,1.0032121581335933
2025-03-25,28,28,1.0046881962356464
2025-03-26,28,28,1.0032121581335933
2025-03-27,28,28,0.9993081474483645
2025-03-28,28,28,0.9993081474483645
2025-03-29,28,28,0.9993081474483645
2025-03-30,28,28,0.9939602748538375
2025-03-31,28,28,0.9939602748538375
2025-04-01,28,28,0.9939602748538375
2025-04-02,28,28,0.9970732122066203
2025-04-03,28,28,0.9978642855390663
2025-04-04,28,28,1.0046881962356464
2025-04-05,28,28,1.0100048361764045
2025-04-06,28,28,1.0046881962356464
2025-04-07,28,28,1.0046881962356464
2025-04-08,28,28,1.0046881962356464
2025-04-09,28,28,1.0046881962356464
2025-04-10,28,28,0.9978642855390663
2025-04-11,28,28,0.9905853444480456
2025-04-12,28,28,0.9936107803804575
2025-04-13,28,28,0.9905853444480456
2025-04-14,28,28,0.9905853444480456
2025-04-15,28,28,0.9936107803804575
2025-04-16,28,28,1.0004346910770376
2025-04-17,28,28,1.0049948274185905
2025-04-18,28,28,1.0049948274185905
2025-04-19,28,28,1.0150480489656326
2025-04-20,28,28,1.0180997007867671
2025-04-21,28,28,1.0180997007867671
2025-04-22,28,28,1.0150480489656326
2025-04-23,28,28,1.0180997007867671
2025-04-24,28,28,1.0180997007867671
2025-04-25,28,28,1.0180997007867671
2025-04-26,28,28,1.0180997007867671
2025-04-27,28,28,1.0217057230470485
2025-04-28,28,28,1.0180997007867671
2025-04-29,28,28,1.0175450855094934
2025-04-30,28,28,1.0112880691458779
2025-05-01,28,28,1.0112880691458779
2025-05-02,28,28,1.0021255635828545
2025-05-03,28,28,0.9958323218555674
2025-05-04,28,28,0.9958323218555674
2025-05-05,28,28,0.9958323218555674
2025-05-06,28,28,0.9958323218555674
2025-05-07,28,28,0.9943802202701929
2025-05-08,28,28,0.9943802202701929
2025-05-09,28,28,0.9943802202701929
2025-05-10,28,28,0.9929144013965692
2025-05-11,28,28,0.9947163209769385
2025-05-12,28,28,0.9929144013965692
2025-05-13,28,28,0.9924835373715823
2025-05-14,28,28,0.9924835373715823
2025-05-15,28,28,0.9924835373715823
2025-05-16,28,28,0.9924835373715823
2025-05-17,28,28,0.9908884594409356
2025-05-18,28,28,0.9892929303931961
2025-05-19,28,28,0.9890775723058722
2025-05-20,28,28,0.9890775723058722
2025-05-21,28,28,0.9875682374954204
2025-05-22,28,28,0.9875682374954204
2025-05-23,28,28,0.9816982034574374
2025-05-24,28,28,0.9816982034574374
2025-05-25,28,28,0.9816982034574374
2025-05-26,28,28,0.9816982034574374
2025-05-27,28,28,0.9875682374954204
2025-05-28,28,28,0.9875682374954204
2025-05-29,28,28,0.9817583004039859
2025-05-30,28,28,0.9875682374954204
2025-05-31,28,28,0.9875682374954204
2025-06-01,28,28,0.9891590694529572
2025-06-02,28,28,0.9891590694529572
2025-06-03,28,28,0.9891590694529572
2025-06-04,28,28,0.9902886791320328
2025-06-05,28,28,0.9902886791320328
2025-06-06,28,28,0.9902886791320328
2025-06-07,28,28,0.9902886791320328
2025-06-08,28,28,0.9902886791320328
2025-06-09,28,28,0.9902886791320328
2025-06-10,28,28,0.9902886791320328
2025-06-11,28,28,0.9902886791320328
2025-06-12,28,28,0.9875682374954204
2025-06-13,28,28,0.9875682374954204
2025-06-14,28,28,0.9875682374954204
2025-06-15,28,28,0.9889132052618199
2025-06-16,28,28,0.9937915957990242
2025-06-17,28,28,0.9976578848444134
2025-06-18,28,28,0.9995088251995911
2025-06-19,28,28,0.9995088251995911
2025-06-20,28,28,1.0044563383555118
2025-06-21,28,28,1.0044563383555118
2025-06-22,28,28,0.9995088251995911
2025-06-23,28,28,0.9995088251995911
2025-06-24,28,28,0.9956425361542018
2025-06-25,28,28,0.9956425361542018
2025-06-26,28,28,0.9956425361542018
2025-06-27,28,28,1.0003989341984267
2025-06-28,28,28,1.005203847143967
2025-06-29,28,28,1.0003989341984267
